word,in_females,in_males,in_total,
road,136,176,312,
power,88,134,222,
clubs,27,59,86,
hockey,14,38,52,
since,229,393,622,
nearly,44,81,125,
feeling,103,135,238,
imagine,47,53,100,
best,452,640,1092,
ive,737,1063,1800,
truly,88,114,202,
unless,97,155,252,
practicing,22,42,64,
honesty,77,78,155,
beatles,69,132,201,
lived,214,285,499,
boardwalk,16,36,52,
technology,45,130,175,
topics,18,45,63,
visit,72,84,156,
leave,88,133,221,
partying,15,49,64,
pizza,72,147,219,
writing,218,327,545,
island,32,53,85,
following,46,77,123,
michael,72,113,185,
goofy,69,79,148,
folks,44,63,107,
grown,49,68,117,
br,1591,2421,4012,
bs,28,33,61,
by,830,1224,2054,
be,1441,2114,3555,
ba,26,31,57,
menbr,26,41,67,
respond,35,29,64,
folk,61,61,122,
arts,104,121,225,
apartment,37,43,80,
stable,27,29,56,
generous,43,28,71,
eventually,45,66,111,
ipod,58,61,119,
vegetarian,76,74,150,
form,62,101,163,
lots,211,261,472,
variety,73,105,178,
vampire,56,41,97,
korean,39,61,100,
intellectual,61,87,148,
saying,65,119,184,
likely,64,133,197,
adore,62,23,85,
limited,36,41,77,
judge,53,79,132,
liked,48,96,144,
humble,21,43,64,
likes,109,160,269,
smiling,51,67,118,
time,1222,1746,2968,
lifei,33,33,66,
lifes,47,59,106,
already,77,116,193,
alchemist,33,33,66,
gets,84,125,209,
lee,29,38,67,
designing,19,56,75,
solid,34,62,96,
weather,58,72,130,
fake,26,32,58,
train,31,54,85,
trail,28,25,53,
charles,16,53,69,
dude,19,58,77,
crystal,22,39,61,
tim,25,49,74,
caring,89,89,178,
comfort,55,46,101,
santa,39,62,101,
forrest,25,28,53,
movies,1063,1487,2550,
survive,21,35,56,
stones,28,50,78,
cuddling,45,36,81,
changing,48,63,111,
passions,47,52,99,
abroad,47,50,97,
youd,69,138,207,
gear,11,59,70,
eclectic,77,95,172,
skills,62,83,145,
helps,38,59,97,
positive,147,167,314,
world,596,810,1406,
under,134,144,278,
couldnt,49,75,124,
fitness,28,23,51,
tahoe,30,50,80,
ofa,21,34,55,
off,338,565,903,
sandwiches,19,34,53,
water,233,292,525,
skiing,50,78,128,
quirky,53,48,101,
second,84,132,216,
nose,23,32,55,
hobbies,39,68,107,
latin,42,42,84,
passion,151,232,383,
reader,44,66,110,
cut,41,86,127,
cup,55,78,133,
rampb,77,78,155,
daybr,51,81,132,
unfortunately,22,52,74,
tried,57,91,148,
smell,51,66,117,
alice,43,28,71,
been,742,1132,1874,
used,195,356,551,
research,63,68,131,
short,199,279,478,
alittle,35,55,90,
batman,17,34,51,
ienjoy,37,46,83,
neighborhood,25,28,53,
rarely,57,83,140,
sunshine,161,115,276,
bebr,26,47,73,
brave,27,40,67,
transplant,22,40,62,
gump,23,33,56,
wellbr,37,75,112,
flow,31,39,70,
or,1677,2359,4036,
of,2047,3041,5088,
on,1669,2459,4128,
oh,275,352,627,
ok,136,209,345,
pulp,37,88,125,
pull,27,34,61,
youre,378,562,940,
streets,24,29,53,
allbr,28,41,69,
ethnic,33,46,79,
call,126,162,288,
calm,32,55,87,
original,36,76,112,
glad,23,44,67,
being,913,1218,2131,
wait,97,107,204,
honest,256,277,533,
gobr,25,34,59,
special,112,165,277,
opinions,26,33,59,
longterm,36,44,80,
alternative,69,87,156,
personally,22,29,51,
places,242,352,594,
each,191,245,436,
sauce,24,28,52,
true,228,255,483,
companybr,15,37,52,
go,800,1211,2011,
cutie,21,39,60,
magazine,28,37,65,
frequently,27,42,69,
left,102,162,264,
ilove,132,118,250,
energetic,47,58,105,
poetry,55,57,112,
salsa,62,50,112,
willing,172,206,378,
rush,15,41,56,
opportunities,29,48,77,
cooking,394,458,852,
such,152,267,419,
never,419,665,1084,
made,180,349,529,
slowly,33,55,88,
mystery,48,41,89,
always,678,987,1665,
choice,39,62,101,
overall,33,38,71,
engineer,7,104,111,
according,24,37,61,
values,41,42,83,
setting,26,54,80,
listener,64,72,136,
showbr,27,36,63,
enjoy,809,1122,1931,
sex,168,213,381,
see,506,830,1336,
move,114,167,281,
united,23,30,53,
sound,133,186,319,
golden,48,68,116,
super,141,204,345,
npr,50,37,87,
iwould,28,34,62,
buti,45,38,83,
outdoors,172,225,397,
near,67,111,178,
awesome,199,326,525,
due,39,38,77,
as,1245,1888,3133,
at,1613,2394,4007,
an,1157,1732,2889,
am,1538,1993,3531,
al,28,38,66,
p,24,37,61,
straight,59,74,133,
sign,23,34,57,
access,27,36,63,
email,28,32,60,
your,625,953,1578,
number,55,107,162,
division,28,27,55,
background,38,45,83,
ido,29,33,62,
plants,26,33,59,
listen,236,425,661,
deep,100,191,291,
ya,29,45,74,
yo,22,30,52,
seriesbr,24,33,57,
girlbr,33,20,53,
introvert,22,29,51,
compassion,35,24,59,
guns,24,57,81,
damn,54,96,150,
zen,13,40,53,
weekends,77,101,178,
simply,45,66,111,
funk,31,64,95,
brothers,77,133,210,
intelligent,148,167,315,
genres,51,72,123,
thin,26,33,59,
this,1045,1583,2628,
camp,32,36,68,
pieces,21,31,52,
engineering,13,71,84,
avoid,31,50,81,
jump,26,44,70,
communication,63,57,120,
still,454,639,1093,
field,89,81,170,
wanted,57,121,178,
ican,68,91,159,
wearing,57,73,130,
fell,27,43,70,
felt,27,46,73,
conversations,72,109,181,
organizing,51,36,87,
height,57,94,151,
brought,16,35,51,
coen,26,46,72,
everythingbr,29,47,76,
sunny,85,151,236,
teacher,99,64,163,
blood,95,124,219,
waits,23,32,55,
vonnegut,34,50,84,
quest,29,44,73,
students,40,31,71,
choices,28,28,56,
involved,48,68,116,
meditation,35,36,71,
committed,38,28,66,
plays,47,56,103,
w,33,36,69,
hugs,28,23,51,
huge,145,210,355,
catch,89,161,250,
cable,21,41,62,
scene,47,92,139,
supportive,32,34,66,
eric,19,34,53,
us,158,309,467,
up,1133,1674,2807,
uc,28,54,82,
uk,12,40,52,
last,324,521,845,
vegetables,41,24,65,
wrong,77,112,189,
bus,27,32,59,
but,1595,2333,3928,
buy,62,82,144,
physics,9,47,56,
peace,56,58,114,
else,212,330,542,
written,57,72,129,
parents,77,104,181,
relationship,186,229,415,
learn,242,298,540,
intimacy,28,28,56,
beautiful,201,197,398,
gives,38,51,89,
given,66,122,188,
study,47,88,135,
architecture,24,46,70,
marin,27,38,65,
fantastic,42,59,101,
worry,48,51,99,
involves,25,41,66,
stupid,43,93,136,
closer,32,26,58,
stuffbr,34,65,99,
thinking,253,413,666,
terms,35,46,81,
oriented,19,45,64,
today,48,72,120,
example,18,54,72,
fully,42,33,75,
connecting,34,39,73,
feelings,29,51,80,
promise,27,37,64,
painting,66,67,133,
seeing,168,228,396,
australia,29,35,64,
media,40,54,94,
classics,62,60,122,
trek,21,73,94,
south,96,222,318,
purpose,43,44,87,
old,402,611,1013,
ny,43,41,84,
no,621,946,1567,
settle,24,34,58,
expand,26,38,64,
pie,36,31,67,
peter,26,48,74,
passport,44,36,80,
ride,116,165,281,
profilebr,17,42,59,
native,80,86,166,
yourself,148,176,324,
mindbr,36,60,96,
hes,46,54,100,
try,568,877,1445,
schoolbr,30,22,52,
thai,211,279,490,
than,575,935,1510,
only,377,565,942,
finding,241,305,546,
years,574,855,1429,
heads,31,40,71,
ghost,28,50,78,
playful,56,52,108,
pleasures,37,21,58,
female,292,47,339,
humans,20,31,51,
intellectually,23,30,53,
wed,29,37,66,
drop,50,55,105,
paul,30,73,103,
sweet,178,166,344,
youmale,0,60,60,
piano,51,75,126,
human,120,217,337,
sunday,38,58,96,
haha,38,68,106,
dog,217,197,414,
typical,145,201,346,
relatively,22,38,60,
spots,29,22,51,
round,17,35,52,
dave,35,34,69,
grow,94,106,200,
yearsbr,36,35,71,
answers,16,39,55,
least,258,390,648,
quiet,93,166,259,
itself,18,39,57,
chat,40,63,103,
simpsons,20,61,81,
worst,20,50,70,
deeply,51,53,104,
brief,21,41,62,
san,362,576,938,
sad,50,70,120,
say,575,817,1392,
saw,77,111,188,
havent,153,230,383,
tree,50,44,94,
loved,154,125,279,
loves,128,121,249,
lover,75,89,164,
picture,62,92,154,
flight,28,42,70,
place,258,427,685,
occasionally,81,112,193,
carbr,33,72,105,
martin,16,41,57,
year,367,527,894,
yeah,105,191,296,
toknow,26,36,62,
stories,145,164,309,
news,59,102,161,
could,422,602,1024,
xx,33,29,62,
roots,46,56,102,
pixies,29,40,69,
nonprofit,63,45,108,
brings,27,32,59,
desert,20,36,56,
daughter,51,32,83,
de,60,72,132,
dc,27,30,57,
do,1130,1652,2782,
dj,26,63,89,
dr,54,92,146,
fucking,24,45,69,
thisbr,29,39,68,
tend,215,335,550,
laundry,32,33,65,
center,40,53,93,
lack,27,43,70,
meant,25,42,67,
means,150,230,380,
lately,129,183,312,
ryan,22,29,51,
jon,29,22,51,
joy,100,111,211,
brazil,25,27,52,
inthe,130,162,292,
join,34,55,89,
build,63,121,184,
built,23,63,86,
language,59,87,146,
once,325,466,791,
text,20,55,75,
valley,37,50,87,
their,288,426,714,
path,40,86,126,
below,12,42,54,
probably,313,552,865,
timebr,89,170,259,
control,26,47,73,
body,127,160,287,
daysbr,27,24,51,
tv,467,681,1148,
to,2206,3276,5482,
th,56,112,168,
accent,38,72,110,
blade,17,57,74,
grab,31,62,93,
grad,79,100,179,
ever,254,427,681,
dont,1064,1606,2670,
mainly,39,65,104,
angeles,19,36,55,
thoughbr,27,45,72,
without,316,434,750,
haveto,14,38,52,
test,31,38,69,
twice,34,44,78,
via,24,40,64,
trilogy,43,80,123,
add,57,89,146,
philip,11,41,52,
described,33,39,72,
problem,59,109,168,
sometime,22,47,69,
basketball,37,85,122,
ray,46,58,104,
book,412,504,916,
sleeping,79,101,180,
ten,30,58,88,
tea,117,88,205,
marketing,56,43,99,
university,44,66,110,
outside,167,228,395,
early,97,172,269,
room,115,122,237,
balanced,35,31,66,
noticed,21,40,61,
nature,204,230,434,
society,41,82,123,
nerdy,44,85,129,
theater,75,98,173,
actually,270,411,681,
till,30,50,80,
my,2144,3057,5201,
mr,39,58,97,
mental,21,38,59,
matter,83,146,229,
theyre,102,158,260,
jokes,62,118,180,
looks,63,121,184,
types,133,187,320,
push,26,32,58,
pi,24,29,53,
designer,43,63,106,
put,189,348,537,
connections,29,32,61,
comes,173,306,479,
concerts,73,88,161,
el,21,44,65,
everyone,156,238,394,
sorts,53,87,140,
public,113,135,248,
seven,32,82,114,
recreation,22,42,64,
harry,139,146,285,
usual,47,75,122,
based,45,88,133,
throw,46,70,116,
andor,120,162,282,
order,132,188,320,
computers,15,94,109,
favorites,182,183,365,
burritos,36,62,98,
million,22,38,60,
that,1630,2436,4066,
rest,104,161,265,
necessarily,39,56,95,
cooked,19,34,53,
wife,43,44,87,
genius,26,31,57,
pbr,24,36,60,
flying,28,57,85,
cookingbr,32,36,68,
jeans,30,33,63,
is,1685,2437,4122,
it,1493,2300,3793,
if,1185,1848,3033,
ie,40,50,90,
ii,23,44,67,
in,2035,3009,5044,
im,1688,2494,4182,
schedule,38,48,86,
funloving,33,24,57,
drama,65,93,158,
ambr,34,32,66,
jazz,160,226,386,
awhile,30,42,72,
bikes,22,56,78,
filmsbr,23,29,52,
act,39,67,106,
figuring,43,75,118,
photo,24,35,59,
dressed,27,24,51,
minds,36,34,70,
filled,36,46,82,
story,152,223,375,
store,55,67,122,
gardening,39,27,66,
mean,203,313,516,
meal,82,110,192,
meat,65,94,159,
bach,16,44,60,
back,556,881,1437,
basic,21,41,62,
basis,29,49,78,
write,157,306,463,
lady,131,102,233,
spotless,53,56,109,
active,203,248,451,
model,24,30,54,
apart,26,51,77,
bacon,23,44,67,
amazing,228,254,482,
e,19,41,60,
chocolatebr,41,24,65,
respect,69,84,153,
kings,61,46,107,
x,43,73,116,
turning,19,38,57,
keep,309,456,765,
vietnamese,35,74,109,
catching,71,82,153,
window,28,23,51,
maybe,287,481,768,
eternal,62,63,125,
futurebr,19,50,69,
trade,21,35,56,
interested,275,362,637,
mountain,36,123,159,
waiting,49,63,112,
russian,30,26,56,
o,22,54,76,
athletic,47,85,132,
whose,26,33,59,
hoping,80,81,161,
bonus,57,78,135,
ambitious,44,40,84,
boys,88,113,201,
lovely,67,34,101,
allows,34,25,59,
finish,56,78,134,
meet,419,641,1060,
friend,336,348,684,
dress,47,65,112,
growing,82,112,194,
creative,231,265,496,
didnt,94,172,266,
laughingbr,30,33,63,
turned,36,47,83,
names,35,57,92,
named,33,43,76,
miss,134,138,272,
sitting,75,93,168,
hidden,22,46,68,
web,23,76,99,
wes,30,47,77,
wet,25,31,56,
author,22,46,68,
asia,23,31,54,
fulltime,22,46,68,
sucker,52,58,110,
hunter,22,42,64,
sadly,19,38,57,
happen,79,124,203,
van,32,60,92,
ball,41,52,93,
high,227,313,540,
thingsi,27,29,56,
wave,21,30,51,
please,185,224,409,
aware,28,54,82,
anymore,36,65,101,
law,84,103,187,
las,17,45,62,
lab,23,30,53,
group,85,143,228,
medicine,34,34,68,
inception,21,64,85,
lunch,15,45,60,
clash,26,29,55,
class,81,91,172,
gift,25,40,65,
circle,36,46,82,
further,21,34,55,
word,94,139,233,
work,930,1409,2339,
documentaries,75,75,150,
zero,19,46,65,
electric,15,46,61,
considered,21,36,57,
everything,422,648,1070,
fruit,44,43,87,
laughs,22,41,63,
environmental,22,34,56,
extra,44,58,102,
graduated,79,104,183,
sleep,127,171,298,
will,779,1070,1849,
someday,27,58,85,
sunshinebr,58,41,99,
moments,50,65,115,
le,25,41,66,
la,126,156,282,
face,93,140,233,
woody,19,40,59,
possibilities,27,32,59,
goingto,28,30,58,
though,320,521,841,
little,553,701,1254,
specifically,26,44,70,
climb,19,35,54,
cant,400,545,945,
travels,21,34,55,
main,37,50,87,
wake,30,58,88,
texas,24,33,57,
heard,47,107,154,
paid,27,45,72,
booksbr,167,164,331,
ina,23,48,71,
truth,62,88,150,
angry,29,37,66,
everyday,77,106,183,
forward,105,149,254,
famous,39,32,71,
cheesy,38,46,84,
myself,667,962,1629,
person,556,718,1274,
backbr,22,33,55,
anderson,31,43,74,
pursuing,26,48,74,
months,92,160,252,
complex,26,52,78,
family,807,830,1637,
bay,458,619,1077,
bar,165,296,461,
bad,251,474,725,
admit,153,166,319,
surf,23,63,86,
happy,381,425,806,
me,1582,2216,3798,
friendbr,43,41,84,
where,522,783,1305,
grateful,53,58,111,
restaurant,95,138,233,
culture,92,126,218,
doctor,35,59,94,
midnight,25,40,65,
downtown,22,44,66,
another,143,224,367,
wanna,64,149,213,
scifi,50,111,161,
lebowski,25,71,96,
he,122,188,310,
hi,99,129,228,
door,46,52,98,
unusual,26,28,54,
breakfast,81,70,151,
workbr,46,99,145,
combination,34,37,71,
sarah,38,30,68,
liberal,29,36,65,
discovery,26,30,56,
cleaning,33,22,55,
london,24,43,67,
ityou,29,29,58,
runs,18,38,56,
manager,29,45,74,
parties,66,68,134,
c,28,59,87,
less,108,220,328,
johnny,36,78,114,
absolutely,78,82,160,
lotbr,31,47,78,
tough,37,67,104,
child,77,79,156,
chili,24,41,65,
chill,57,131,188,
fried,22,36,58,
should,337,506,843,
hands,111,165,276,
bands,61,142,203,
hbo,25,27,52,
speak,74,120,194,
diet,29,53,82,
network,29,48,77,
father,31,57,88,
brunch,32,19,51,
into,615,1003,1618,
chef,34,67,101,
originally,95,111,206,
lips,34,50,84,
soft,71,74,145,
creativity,46,41,87,
suck,29,52,81,
brian,19,34,53,
set,72,167,239,
sea,33,57,90,
beauty,116,144,260,
addiction,20,32,52,
cheap,24,51,75,
cats,79,78,157,
forgetting,20,35,55,
onto,21,34,55,
wrote,36,58,94,
team,48,86,134,
okc,45,59,104,
kanye,30,52,82,
kids,210,200,410,
through,306,457,763,
onmy,29,23,52,
stand,65,109,174,
driven,43,67,110,
hikes,32,32,64,
almost,244,338,582,
relate,27,29,56,
support,65,57,122,
smoke,38,56,94,
seasons,25,35,60,
hot,240,295,535,
how,873,1257,2130,
hop,116,157,273,
bringing,30,25,55,
asleep,25,30,55,
havebeen,18,36,54,
dogbr,51,47,98,
foodie,51,61,112,
rice,38,39,77,
rich,26,45,71,
cultural,28,46,74,
words,126,189,315,
particularly,52,70,122,
drunk,21,50,71,
things,1090,1585,2675,
college,215,328,543,
internet,116,264,380,
thembr,84,117,201,
quite,172,295,467,
homebr,43,41,84,
speaking,46,62,108,
advice,39,43,82,
dreams,81,113,194,
area,374,509,883,
parking,35,32,67,
j,20,37,57,
find,609,885,1494,
modern,141,203,344,
darko,20,37,57,
match,55,93,148,
country,236,288,524,
liketo,54,51,105,
night,407,520,927,
disney,29,30,59,
chance,69,122,191,
amp,445,572,1017,
amy,33,22,55,
pictures,74,127,201,
stripes,24,27,51,
land,34,52,86,
scratch,24,28,52,
wicked,29,38,67,
downbr,18,41,59,
easier,16,37,53,
universe,53,96,149,
james,76,125,201,
line,95,134,229,
relnofollow,26,58,84,
tends,24,32,56,
apple,33,59,92,
spicy,90,86,176,
get,992,1521,2513,
bible,31,23,54,
exploring,244,263,507,
laptopbr,20,36,56,
florence,41,27,68,
daft,14,58,72,
dylan,39,59,98,
spare,39,61,100,
queen,41,46,87,
process,57,60,117,
fact,116,150,266,
heart,261,282,543,
plan,134,194,328,
play,351,619,970,
rockbr,34,34,68,
cheese,106,111,217,
seafood,32,46,78,
comedy,106,183,289,
faith,39,38,77,
cake,49,53,102,
iwas,35,56,91,
listeningbr,20,44,64,
trying,625,844,1469,
evening,35,55,90,
success,20,36,56,
well,544,892,1436,
orange,28,62,90,
over,462,687,1149,
climbing,60,126,186,
started,105,221,326,
helping,87,122,209,
bicycle,25,62,87,
fine,85,121,206,
alive,47,56,103,
asking,43,56,99,
relaxing,131,164,295,
event,52,69,121,
male,22,406,428,
ialso,57,66,123,
communicate,25,32,57,
bowling,29,38,67,
prefer,159,246,405,
ass,75,106,181,
attending,45,49,94,
allen,35,53,88,
waterbr,82,106,188,
awesomebr,30,36,66,
business,137,237,374,
berkeley,68,141,209,
pans,31,24,55,
scary,45,47,92,
dragon,57,60,117,
reasons,32,47,79,
films,138,176,314,
late,98,152,250,
curious,103,148,251,
completely,67,102,169,
asian,81,110,191,
successful,43,70,113,
novel,42,54,96,
design,109,167,276,
blessed,32,31,63,
instead,67,101,168,
enthusiasm,30,52,82,
ahead,30,47,77,
cure,29,40,69,
curb,23,65,88,
job,374,567,941,
chemistry,57,63,120,
putting,75,99,174,
staying,169,222,391,
summer,155,154,309,
hike,105,97,202,
friendsbr,432,587,1019,
guilty,39,45,84,
visiting,35,56,91,
content,49,41,90,
winter,52,61,113,
jayz,24,28,52,
whats,115,207,322,
companion,29,30,59,
nyc,46,54,100,
snow,57,93,150,
warm,149,146,295,
rec,24,38,62,
red,200,222,422,
areas,28,36,64,
mother,124,146,270,
johnson,28,31,59,
season,56,56,112,
focus,51,81,132,
knowbr,29,54,83,
ago,171,261,432,
age,107,159,266,
dive,65,77,142,
bass,23,55,78,
wilco,25,30,55,
french,108,154,262,
needed,26,33,59,
internetbr,35,114,149,
arcade,42,89,131,
non,29,61,90,
cocktail,25,31,56,
now,702,1042,1744,
not,1403,2062,3465,
born,172,295,467,
step,55,83,138,
nightbr,27,36,63,
gender,33,27,60,
notebook,35,22,57,
training,59,68,127,
peanut,29,33,62,
car,145,230,375,
cal,22,50,72,
can,1225,1757,2982,
cab,28,61,89,
moviebr,26,44,70,
listbr,31,37,68,
shouldnt,22,31,53,
meyou,25,39,64,
taken,57,84,141,
takes,79,133,212,
are,1443,2004,3447,
fair,46,81,127,
art,408,493,901,
friendsi,63,94,157,
bars,71,159,230,
museums,55,61,116,
literally,29,44,73,
quote,19,40,59,
someones,21,38,59,
mellow,36,35,71,
conversation,171,292,463,
two,306,497,803,
education,104,74,178,
challenge,72,78,150,
imnot,34,44,78,
engage,23,28,51,
mebr,221,320,541,
travel,457,459,916,
expect,48,58,106,
clothes,40,67,107,
sexbr,31,53,84,
allergic,27,27,54,
butter,33,41,74,
vegan,34,62,96,
vegas,28,53,81,
considerate,21,34,55,
novels,71,91,162,
performing,24,30,54,
wonderful,108,108,216,
singing,131,109,240,
adult,58,64,122,
took,59,126,185,
doing,500,724,1224,
everywhere,33,44,77,
german,16,40,56,
raising,45,39,84,
artist,81,124,205,
hour,126,119,245,
odd,36,77,113,
women,115,227,342,
heels,45,15,60,
people,1264,1743,3007,
during,115,198,313,
trivia,32,52,84,
oceanbr,33,44,77,
someone,642,848,1490,
nonfiction,93,118,211,
baseball,53,86,139,
goodbr,29,55,84,
wondering,35,55,90,
iphonebr,59,78,137,
wouldnt,111,152,263,
school,469,697,1166,
fish,50,78,128,
dry,36,77,113,
naked,32,46,78,
dad,40,94,134,
dan,23,49,72,
picky,50,77,127,
often,279,393,672,
habit,21,35,56,
side,183,268,451,
television,34,89,123,
total,50,65,115,
loving,259,208,467,
fixing,24,95,119,
chicken,60,81,141,
using,73,108,181,
firefly,26,39,65,
mom,95,74,169,
meaning,69,108,177,
plus,87,98,185,
same,246,350,596,
youth,45,56,101,
classic,111,174,285,
punk,57,152,209,
important,276,306,582,
look,285,500,785,
tall,102,164,266,
talk,301,497,798,
gaga,33,48,81,
racing,19,32,51,
building,54,183,237,
cause,52,88,140,
girls,158,194,352,
rock,375,631,1006,
glee,42,47,89,
physically,43,66,109,
energy,130,150,280,
national,42,77,119,
massive,23,39,62,
criminal,35,19,54,
ofthe,68,119,187,
facts,24,47,71,
golf,29,60,89,
led,48,90,138,
makes,271,388,659,
went,126,199,325,
shoes,86,79,165,
ask,206,389,595,
aboutbr,26,41,67,
politics,90,130,220,
u,71,102,173,
come,279,427,706,
connection,60,89,149,
discovered,27,56,83,
mumford,32,30,62,
some,910,1495,2405,
dramas,34,21,55,
coffeebr,85,120,205,
personbr,36,52,88,
theory,66,127,193,
create,66,107,173,
fun,746,1023,1769,
urban,48,56,104,
jobbr,33,45,78,
bring,86,121,207,
biggest,25,44,69,
pushing,28,42,70,
mouse,25,40,65,
soccer,47,113,160,
every,350,627,977,
secret,66,80,146,
guitar,65,199,264,
present,65,84,149,
books,711,930,1641,
walks,90,77,167,
friendsand,33,22,55,
entire,29,71,100,
firm,45,60,105,
fire,105,208,313,
k,27,58,85,
coming,87,140,227,
billy,23,44,67,
watched,30,65,95,
fewbr,25,36,61,
long,503,696,1199,
confidence,25,37,62,
cars,32,98,130,
hopefully,100,148,248,
style,89,103,192,
hairbr,28,28,56,
hiking,243,267,510,
inmy,28,50,78,
reggae,36,67,103,
seen,115,153,268,
air,101,165,266,
summary,21,39,60,
later,51,134,185,
tennis,49,108,157,
house,253,380,633,
proud,57,69,126,
month,45,65,110,
profiles,25,52,77,
legs,26,27,53,
report,31,62,93,
sports,165,344,509,
company,167,356,523,
ill,374,726,1100,
stimulating,24,32,56,
open,438,594,1032,
r,24,39,63,
bbq,31,56,87,
romance,59,71,130,
saturday,66,84,150,
spanish,57,78,135,
mature,25,35,60,
karaoke,38,56,94,
stevie,38,35,73,
may,221,340,561,
man,299,468,767,
mac,52,59,111,
mad,155,174,329,
dark,139,234,373,
besides,45,62,107,
begin,25,33,58,
loud,100,89,189,
phonebr,56,110,166,
dick,12,45,57,
eggs,32,32,64,
stephen,19,57,76,
return,42,45,87,
shit,75,129,204,
dobr,42,67,109,
foster,23,38,61,
hotel,30,39,69,
fuck,34,52,86,
sarcastic,105,122,227,
them,444,692,1136,
afraid,103,127,230,
wars,50,133,183,
spiritual,64,65,129,
exception,31,29,60,
confident,95,100,195,
dinner,408,359,767,
happens,51,86,137,
younger,54,70,124,
anywhere,69,78,147,
relationships,89,120,209,
stuff,254,555,809,
workout,16,55,71,
spend,355,501,856,
forest,14,37,51,
avid,32,45,77,
sam,28,27,55,
plans,63,90,153,
camerabr,25,46,71,
hello,46,72,118,
seriously,182,246,428,
lessons,23,35,58,
shower,44,55,99,
spirit,67,60,127,
ireally,33,32,65,
lives,112,144,256,
responsible,24,31,55,
outgoing,130,128,258,
middle,105,121,226,
davis,23,53,76,
between,157,252,409,
ijust,19,37,56,
honestly,54,105,159,
regular,45,62,107,
lookingfor,37,39,76,
nerd,74,136,210,
muse,29,50,79,
entertainment,23,42,65,
teeth,33,39,72,
close,169,230,399,
sunset,33,34,67,
activity,43,75,118,
toget,25,37,62,
choose,61,57,118,
ofmy,55,46,101,
diego,25,33,58,
yummy,38,23,61,
france,17,39,56,
follow,37,68,105,
guys,105,165,270,
kitchen,79,74,153,
value,98,112,210,
manage,31,40,71,
onbr,64,74,138,
direct,41,39,80,
lifebr,136,191,327,
obvious,28,46,74,
all,1266,1834,3100,
showing,24,27,51,
even,428,640,1068,
christmas,30,30,60,
tofind,17,36,53,
regularly,34,58,92,
musician,18,55,73,
talks,14,38,52,
attend,25,33,58,
addicted,40,50,90,
cookies,36,17,53,
passportbr,38,30,68,
orbr,18,39,57,
project,95,132,227,
fashion,56,73,129,
europe,50,88,138,
etc,171,299,470,
horrible,23,40,63,
range,65,78,143,
kiss,32,45,77,
earth,166,215,381,
inside,39,98,137,
skin,56,51,107,
nor,33,56,89,
graphic,35,58,93,
lame,17,53,70,
labyrinth,30,28,58,
cry,44,50,94,
paris,46,51,97,
giving,132,160,292,
men,254,298,552,
black,192,320,512,
chillin,22,32,54,
teach,105,119,224,
royal,36,45,81,
theatre,44,30,74,
starting,82,162,244,
we,569,898,1467,
sport,20,49,69,
code,17,62,79,
realized,32,54,86,
inspired,40,32,72,
win,33,52,85,
mediterranean,29,40,69,
italy,26,25,51,
ca,37,61,98,
sunbr,31,43,74,
dexter,67,100,167,
difficult,51,66,117,
which,456,730,1186,
cute,108,114,222,
broken,36,75,111,
live,658,806,1464,
grounded,43,33,76,
definitely,153,200,353,
todo,32,42,74,
waking,25,39,64,
adventure,206,218,424,
mountains,46,89,135,
club,150,257,407,
ultimate,26,37,63,
grabbing,33,33,66,
oldies,38,29,67,
wow,34,37,71,
idont,68,109,177,
electronic,34,90,124,
silence,30,36,66,
catcher,37,55,92,
classilink,167,421,588,
missing,32,44,76,
apparently,43,88,131,
radiohead,82,114,196,
chocolate,168,108,276,
redemption,36,74,110,
hip,133,168,301,
him,78,102,180,
whenever,59,111,170,
website,28,51,79,
balance,124,132,256,
social,261,315,576,
wherever,21,40,61,
fix,38,59,97,
fit,108,146,254,
ipodbr,17,34,51,
sf,318,485,803,
so,1177,1701,2878,
gamesbr,25,51,76,
lil,25,51,76,
sleepbr,32,42,74,
harold,29,35,64,
meals,35,50,85,
attempt,21,37,58,
optimistic,40,59,99,
curly,48,25,73,
metal,49,118,167,
jim,15,37,52,
down,448,708,1156,
psychology,52,58,110,
course,152,221,373,
joke,53,87,140,
adventurous,139,146,285,
meim,24,32,56,
authentic,30,24,54,
cat,106,89,195,
atthe,45,56,101,
bake,43,30,73,
apply,25,30,55,
next,464,574,1038,
indie,92,118,210,
india,37,36,73,
fantasy,50,98,148,
craft,20,31,51,
romantic,133,146,279,
facial,21,37,58,
bayarea,18,33,51,
wear,107,135,242,
likebr,28,56,84,
progress,24,43,67,
won,17,41,58,
fora,18,42,60,
organic,43,51,94,
stage,31,42,73,
breaking,78,190,268,
george,31,67,98,
somewhat,64,96,160,
break,66,95,161,
bread,40,64,104,
charming,38,40,78,
industry,48,75,123,
race,39,74,113,
engaging,15,37,52,
laughing,217,178,395,
track,19,49,68,
quality,83,101,184,
japanese,98,186,284,
iwant,42,44,86,
potential,30,33,63,
floor,41,44,85,
okay,78,93,171,
behind,54,81,135,
reach,24,41,65,
weird,100,171,271,
creating,82,128,210,
steak,28,72,100,
popular,23,39,62,
v,25,64,89,
big,513,806,1319,
childhood,27,40,67,
magazines,26,34,60,
trips,109,127,236,
dubstep,20,39,59,
copy,15,36,51,
allthe,20,33,53,
sounds,91,144,235,
mostly,270,421,691,
here,520,862,1382,
certainly,34,56,90,
prepared,19,33,52,
