word,in_females,in_males,in_total,
laugh,520,583,1103,
considering,25,29,54,
update,45,51,96,
rightbr,28,33,61,
id,371,465,836,
knife,23,50,73,
playing,285,582,867,
artists,55,80,135,
arebr,42,66,108,
hell,68,127,195,
tom,80,106,186,
ton,24,68,92,
too,703,1008,1711,
top,145,312,457,
agood,71,94,165,
drawing,48,76,124,
somehow,44,56,100,
tired,35,58,93,
currently,342,491,833,
bother,19,32,51,
wedding,32,36,68,
political,45,67,112,
murakami,25,30,55,
agree,24,43,67,
heres,36,83,119,
hobby,20,53,73,
projects,70,128,198,
foodmy,30,24,54,
source,22,31,53,
sedaris,45,41,86,
flicks,45,38,83,
corporate,24,38,62,
itbr,206,333,539,
soup,30,36,66,
soul,122,176,298,
lord,55,126,181,
agreat,26,36,62,
fall,121,138,259,
normal,39,77,116,
helped,16,40,56,
ridiculous,45,67,112,
wont,144,196,340,
fight,73,160,233,
needs,62,79,141,
home,579,728,1307,
galactica,16,37,53,
character,23,59,82,
brother,36,80,116,
really,992,1499,2491,
languages,34,51,85,
going,905,1235,2140,
bright,47,76,123,
mefemale,74,0,74,
town,118,155,273,
busy,141,145,286,
hitting,28,53,81,
dirty,78,76,154,
italian,183,285,468,
ithink,29,74,103,
watch,388,578,966,
mouth,28,34,62,
crazy,163,203,366,
three,147,209,356,
wandering,18,34,52,
looking,721,1053,1774,
respectful,30,28,58,
volunteering,39,37,76,
kurt,20,38,58,
independent,159,109,268,
pursuit,32,36,68,
studied,40,50,90,
raised,150,217,367,
particular,101,149,250,
horses,35,32,67,
working,677,1026,1703,
tothe,58,81,139,
market,48,46,94,
major,87,113,200,
whiskey,31,38,69,
pen,27,36,63,
pet,24,40,64,
meeting,215,303,518,
dates,34,51,85,
sexy,85,99,184,
situation,53,82,135,
documentary,19,34,53,
giant,22,52,74,
save,64,90,154,
spontaneous,101,99,200,
franciscobr,16,36,52,
moment,154,227,381,
natural,72,88,160,
holding,26,38,64,
restaurants,127,142,269,
knew,26,38,64,
colbert,31,81,112,
environment,32,36,68,
losing,24,35,59,
remember,76,110,186,
hunger,69,48,117,
ground,28,41,69,
interests,124,162,286,
supposed,22,56,78,
therebr,35,65,100,
type,152,242,394,
humorbr,62,99,161,
forever,35,56,91,
sorry,65,83,148,
both,231,386,617,
eye,73,104,177,
killer,20,43,63,
give,223,325,548,
notice,147,248,395,
enjoys,46,83,129,
constantly,68,100,168,
rye,37,54,91,
after,409,587,996,
sort,91,166,257,
morebr,100,127,227,
birthday,27,36,63,
youve,82,143,225,
mix,56,81,137,
intelligence,35,53,88,
b,43,85,128,
told,210,295,505,
kid,77,150,227,
favorite,605,740,1345,
screen,18,47,65,
term,53,87,140,
riding,105,158,263,
festivals,39,31,70,
trouble,39,69,108,
shawshank,39,90,129,
boring,49,94,143,
withbr,56,81,137,
entertaining,42,55,97,
incredibly,46,54,100,
incredible,24,43,67,
holy,19,54,73,
hole,36,31,67,
hold,84,135,219,
sensitive,49,48,97,
animal,67,88,155,
note,69,101,170,
hard,334,559,893,
burn,19,38,57,
realize,52,106,158,
adele,48,36,84,
jumping,28,27,55,
able,160,232,392,
attention,45,85,130,
generally,126,203,329,
although,200,241,441,
bike,158,261,419,
driving,70,129,199,
treat,31,59,90,
great,621,893,1514,
pretty,667,967,1634,
tohave,27,48,75,
groups,29,41,70,
interesting,224,405,629,
fascinated,23,34,57,
stone,47,53,100,
level,52,75,127,
couch,62,63,125,
embrace,22,33,55,
bookbr,46,48,94,
edge,34,39,73,
travelbr,47,48,95,
radio,73,112,185,
naturebr,54,52,106,
turn,89,126,215,
having,473,651,1124,
west,102,151,253,
lights,48,47,95,
dishes,35,52,87,
useless,23,37,60,
attractive,45,55,100,
share,236,303,539,
sharp,27,48,75,
guide,28,88,116,
minute,43,52,95,
approach,26,41,67,
i,2212,3252,5464,
lewis,17,35,52,
artbr,42,55,97,
knowledge,38,86,124,
attracted,43,65,108,
lucky,92,115,207,
goes,148,188,336,
conversationbr,40,53,93,
comfortable,157,184,341,
there,565,882,1447,
focusing,21,38,59,
player,23,52,75,
played,44,98,142,
waybr,28,69,97,
blues,64,112,176,
gym,70,174,244,
jacket,15,38,53,
tech,49,138,187,
matrix,21,73,94,
